id,drift_event_id,endpoint_id,status,response_code,response_body,delivered_at,created_at
1,128,1,delivered,204,,2026-03-07 23:32:58.325835,2026-03-07 23:32:42.539353
2,195,1,delivered,204,,2026-03-14 14:14:34.229632,2026-03-14 14:14:28.481853
3,215,1,delivered,204,,2026-03-20 14:32:26.48536,2026-03-20 14:32:15.796607
4,216,1,delivered,204,,2026-03-20 14:34:26.449765,2026-03-20 14:33:56.68558
5,230,1,delivered,204,,2026-03-24 14:14:26.707864,2026-03-24 14:14:16.601576
