class,domain,dmarc_status,policy,p,sp,pct,aspf,adkim,has_rua,has_ruf,spf_present,spf_includes,dnssec,mta_sts,tls_rpt,bimi,has_dmarc,enforcing
tenant,hortongroup.com,present,none,none,,100,r,r,True,False,True,_spf.freshbooks.com _spf.google.com amazonses.com convertkit.com e2ma.net spf.zoho.com transmail.net,False,False,False,False,True,False
tenant,hosptm.ro,present,quarantine,quarantine,quarantine,80,r,r,True,True,True,_spf.firebasemail.com,False,False,False,False,True,True
tenant,ibm.com,present,reject,reject,none,100,r,r,True,True,True,%{ir}.%{v}.%{d}.spf.has.pphosted.com,False,False,False,False,True,True
tenant,ietf.org,present,none,none,,100,r,r,True,False,True,_spf.google.com spf.hostedrt.com,True,False,False,True,True,False
tenant,ifacforl.ro,present,none,none,,100,r,r,False,False,True,relay.romarg.net,False,False,False,False,True,False
tenant,inmanindustrial.com,absent,no DMARC,,,100,r,r,False,False,True,_spf.google.com,False,False,False,False,False,False
tenant,innbn-bucuresti.ro,present,reject,reject,,100,r,r,True,True,True,,False,False,False,False,True,True
tenant,insmc.ro,present,reject,reject,reject,100,r,r,False,True,True,hydramx.hosterion.net rhea.hosterion.net,False,False,False,False,True,True
tenant,intellectualresistance.com,present,reject,reject,reject,100,s,s,False,False,True,,True,False,False,True,True,True
tenant,isc.org,present,none,none,reject,100,r,r,True,True,True,_spf.salesforce.com servers.mcsv.net shops.shopify.com spf-a.customercenter.net spf-b.customercenter.net spf-c.customercenter.net,True,False,True,False,True,False
tenant,it-help.tech,present,reject,reject,reject,100,r,r,True,True,True,_u.it-help.tech._spf.smart.ondmarc.com,True,True,True,True,True,True
tenant,item.org,present,none,none,,100,r,r,False,False,True,_spf-us.ionos.com _spf.kundenserver.de _spf.perfora.net,False,False,False,False,True,False
tenant,izvoru.ro,absent,no DMARC,,,100,r,r,False,False,True,relay.romarg.net,False,False,False,False,False,False
tenant,jira.sovanta.com,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
tenant,johnsoncustombuilders.com,present,reject,reject,reject,100,r,r,True,False,True,_spf.google.com,True,False,False,False,True,True
tenant,jonaswiegner.de,present,reject,reject,reject,100,r,r,False,False,True,,False,False,False,False,True,True
tenant,jue.rs,present,none,none,,100,r,r,True,False,True,_spf.protonmail.ch,False,False,False,False,True,False
tenant,kadse.dev,absent,no DMARC,,,100,r,r,False,False,False,,True,False,False,False,False,False
tenant,kali.org,present,none,none,,100,r,r,True,True,True,_spf.google.com sendgrid.net,True,False,False,False,True,False
tenant,kisa.org.cy,absent,no DMARC,,,100,r,r,False,False,True,spf.protection.outlook.com,False,False,False,False,False,False
tenant,knoccs.com,present,quarantine,quarantine,,100,r,r,True,True,True,243827887.spf02.hubspotemail.net sendgrid.net spf.protection.outlook.com,False,False,False,False,True,True
tenant,knoxminerals.com,present,none,none,,100,r,r,True,False,True,spf.protection.outlook.com,False,False,False,False,True,False
tenant,kokee.net,present,none,none,,100,r,r,True,False,True,_spf.protonmail.ch,False,False,False,False,True,False
tenant,leeashley.com,present,reject,reject,,100,r,r,True,False,True,_spf.google.com,True,True,True,False,True,True
tenant,leeashley.net,present,reject,reject,reject,100,s,s,True,True,True,_spf.faithconnector.com _spf.google.com,False,True,True,False,True,True
tenant,leidos.com,present,reject,reject,reject,100,r,r,True,True,True,46166704.spf04.hubspotemail.net mktomail.com spf-00336402.gpphosted.com,False,False,False,False,True,True
tenant,lincolnapps.co,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
tenant,livearchive.net,absent,no DMARC,,,100,r,r,False,False,False,,True,False,False,False,False,False
tenant,local.calibrationscope.com,absent,no DMARC,,,100,r,r,False,False,True,,False,False,False,False,False,False
tenant,maltejk.de,present,quarantine,quarantine,none,100,s,s,True,True,True,mailbox.org,True,False,False,False,True,True
tenant,markphd.me,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
tenant,mateibals.ro,present,none,none,,100,r,r,False,False,True,,False,False,False,False,True,False
tenant,maulhardt.info,absent,no DMARC,,,100,r,r,False,False,True,,False,False,False,False,False,False
tenant,media.g-my.com,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
tenant,meg.abyt.es,present,none,none,,100,r,r,True,False,True,_spf.google.com,False,False,False,False,True,False
tenant,mercadopago.com,present,reject,reject,,100,r,s,True,True,True,spfrange.mercadopago.com,False,False,False,True,True,True
tenant,microsoft.com,present,reject,reject,,100,r,r,True,True,True,_spf-a.microsoft.com _spf-b.microsoft.com _spf-c.microsoft.com _spf-ssg-a.msft.net _spf1-meo.microsoft.com,False,True,True,False,True,True
tenant,migrateproduction.com,present,quarantine,quarantine,,100,r,r,True,False,True,websitewelcome.com,False,False,False,False,True,True
tenant,misconfigured.com,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
tenant,mobilecommercepress.com,absent,no DMARC,,,100,r,r,False,False,True,bluehost.com relay.mailchannels.net,False,False,False,False,False,False
tenant,monologue.to,present,none,none,,100,r,r,True,False,False,,False,False,False,False,True,False
tenant,mta-sts.it-help.tech,present,reject,reject,,100,r,r,False,False,False,,True,False,False,False,True,True
tenant,mta-sts.purpleflock.com,present,reject,reject,reject,100,r,r,True,False,True,,False,False,True,True,True,True
tenant,mta-sts.purpleflock.net,present,reject,reject,reject,100,r,r,True,False,True,,False,False,True,True,True,True
tenant,mta-sts.sportcommunities.group,present,reject,reject,reject,100,r,r,True,False,True,,False,False,True,True,True,True
tenant,mtadistributors.com,present,quarantine,quarantine,,100,r,r,True,True,True,_spf.mtadistributors_com._d.easydmarc.pro _spf.smtp.com spf-us.emailsignatures365.com spf.protection.outlook.com,False,False,False,False,True,True
tenant,mx1.blauw-survey.com,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
tenant,mx1.blauwsurvey.com,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
tenant,my.pdic.gov.ph,absent,no DMARC,,,100,r,r,False,False,False,,True,False,False,False,False,False
tenant,mynetworksettings.com,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
